external_id,timezone_id,phone_number,country,device,channel,email,first_session,player_id,ip_address,language_code,last_active,sessions,subscribed,tags,usage_duration,unsubscribed_at,onesignal_id
99,Asia/Riyadh,,SA,itel S686LN 15,Google Android,,2026-05-03 11:55:34,11cbf900-3508-47a7-a944-7bd859ccfa96,2001:16a4:52:2718:645d:6ff:fecf:592e,ar,2026-05-09 11:24:09,3,Yes,{},9,,0107086a-d0ef-45da-a5db-2a1c31535eb5
33,Africa/Cairo,,EG,sdk_gphone64_x86_64 16,Google Android,,2026-01-22 08:27:57,c1934ea0-bda6-47f6-b5ba-f87ca9e37e0d,156.197.127.121,en,2026-01-22 09:43:39,7,No,{},15098,2026-02-15 12:53:41,013e8f89-bfa1-4017-8bbc-f66935b99e39
33,Africa/Cairo,,EG,sdk_gphone64_x86_64 16,Google Android,,2026-01-22 08:27:57,d02aa2a8-27c4-4da2-8b3d-4f0dfa3c18c3,156.197.127.121,en,2026-01-22 09:57:38,2,No,{},0,2026-02-15 12:53:41,013e8f89-bfa1-4017-8bbc-f66935b99e39
196,Asia/Riyadh,,SA,"iPhone16,2 26.5",iOS,,2026-07-11 13:17:35,2ecdd5c5-6299-4526-af19-af3e37c8704d,149.126.14.79,ar,2026-07-11 13:17:40,2,Yes,{},141,2026-07-11 13:17:40,04293fe8-bba4-42f8-abf0-4e0b58084a9f
169,Asia/Riyadh,,SA,"iPhone18,2 26.4.1",iOS,,2026-07-07 01:47:50,fd4b35bc-7ec2-4c96-aa3e-b9497afddbd9,2001:16a4:6:3ed5:bd02:e298:67c7:970f,ar,2026-07-08 01:27:18,3,Yes,{},283,,04e4affd-5340-474e-9c96-b14c9ed6a0f9
,Asia/Riyadh,,SA,SM-A136B 14,Google Android,,2026-01-29 11:53:36,0ff3149b-6ce1-4436-9187-f7689b650e4a,2001:16a2:c091:1727:c788:9d01:1d5:51f,ar,2026-01-29 11:57:18,2,No,{},0,2026-01-29 11:57:19,05284736-e787-4d21-802f-6458f4ccb800
178,Asia/Riyadh,,SA,"iPhone13,4 18.5",iOS,,2026-07-07 18:12:55,c9bacda5-51e8-49c9-9e75-7a552c62b905,2001:16a4:c7:560d:80e1:fd0c:aed9:ff71,ar,2026-07-18 17:36:23,3,Yes,{},166,,05eaef93-3fb5-497f-9cbd-e76a1ce8e776
,Asia/Riyadh,,SA,SM-S928B 16,Google Android,,2026-04-25 20:27:36,aca2554c-5a4e-4c9e-9590-e9d17d7f6971,2001:16a4:22d:448e:70bd:2150:ccc1:36f2,ar,2026-04-25 20:27:41,2,Yes,{},0,,067ba10a-d9ed-4429-93fb-b8ec9e4a7ad9
,Asia/Riyadh,,SA,itel A6611L 15,Google Android,,2026-05-06 03:55:30,b22ac36f-7c78-4c4b-a7e0-ade2e9ed540f,2001:16a2:c14c:f144:448:88ff:fef4:68fc,ar,2026-05-06 03:55:35,2,No,{},0,2026-05-06 03:55:36,07a5167b-4657-4a79-9b94-753517546eaf
,Asia/Riyadh,,SA,"iPhone14,3 17.5.1",iOS,,2026-04-24 17:31:24,6ad1a26f-409b-4365-8f98-934263961040,2001:16a4:279:ff00:6c10:7a27:87e0:12e,ar,2026-05-20 14:37:38,4,Yes,{},0,,07eee7e7-f9d6-46af-9a6d-73a10177d813
174,Asia/Riyadh,,SA,"iPhone17,2 26.5",iOS,,2026-07-07 10:28:11,9538b47f-8ae3-4603-8877-8f3df24f2a24,212.62.97.167,ar,2026-07-09 03:31:11,5,Yes,{},317,,083d2089-c54c-4944-8573-d42434796a06
